Seed Keyword,Suggested Keyword,Search Intent,Wildcard / Query Pattern,Pattern Type,Search Depth,Parent Suggestion,Country (GL),Language (HL),Rank Position,Timestamp
"Woody Sort Game","does woody sort game pay real money","General","* Woody Sort Game","Wildcard Prefix (*)","Level 1","","IN","EN",6,"2026-09-18T09:56:24.796Z"
"Woody Sort Game","games.burning.color.sort.woody.puzzle","General","Woody Sort Game s","Alphabet Suffix (s)","Level 1","","IN","EN",2,"2026-09-18T09:57:01.735Z"
"Woody Sort Game","poki games woody sort","General","Woody Sort Game s","Alphabet Suffix (s)","Level 1","","IN","EN",3,"2026-09-18T09:57:01.735Z"
"Woody Sort Game","sorting game apps","General","* Woody Sort Game","Wildcard Prefix (*)","Level 1","","IN","EN",7,"2026-09-18T09:56:24.796Z"
"Woody Sort Game","woody ball sort game","General","Woody Sort Game","Exact Seed","Level 1","","IN","EN",4,"2026-09-18T09:56:23.204Z"
"Woody Sort Game","woody sort game","General","* Woody Sort Game","Wildcard Prefix (*)","Level 1","","IN","EN",1,"2026-09-18T09:56:24.796Z"
"Woody Sort Game","woody sort game free","General","Woody Sort Game","Exact Seed","Level 1","","IN","EN",1,"2026-09-18T09:56:23.204Z"
"Woody Sort Game","woody sort game hidden level","General","Woody Sort Game","Exact Seed","Level 1","","IN","EN",3,"2026-09-18T09:56:23.204Z"
"Woody Sort Game","woody sort game online","General","Woody Sort Game","Exact Seed","Level 1","","IN","EN",2,"2026-09-18T09:56:23.204Z"
"Woody Sort Game","woody sort games","General","Woody Sort Game s","Alphabet Suffix (s)","Level 1","","IN","EN",1,"2026-09-18T09:57:01.734Z"
"Woody Sort Game","woody sort play online for free poki","General","Woody Sort Game online","Modifier Suffix (online)","Level 1","","IN","EN",1,"2026-09-18T09:58:00.700Z"
